Tempo,Temp In (C),Temp Amb (C)
3,-0.23,38.12
3,26.27,38.12
3,26.73,38.12
4,26.27,38.61
4,26.73,38.12
4,26.97,38.12
4,26.97,38.12
4,26.73,38.12
5,26.97,38.12
5,26.97,38.12
5,27.20,38.12
5,26.97,38.12
5,26.97,38.12
6,27.20,38.12
6,27.44,38.12
6,27.67,38.12
6,27.44,39.10
6,27.91,38.61
7,27.20,38.12
7,27.91,38.12
7,27.44,38.61
7,27.67,38.12
7,27.91,38.12
8,27.44,38.12
8,27.44,38.12
8,27.67,38.61
8,27.67,38.12
8,27.44,38.12
9,27.91,38.12
9,27.67,38.12
9,27.91,38.12
9,27.44,38.12
9,27.91,38.12
10,27.91,38.12
10,27.67,38.12
10,27.91,38.12
10,27.67,38.12
10,28.14,38.12
11,28.14,38.12
11,27.91,37.63
11,28.14,38.12
11,27.91,38.12
11,27.91,38.12
12,27.67,37.63
12,27.67,38.12
12,27.91,38.12
12,28.14,38.12
12,27.91,38.12
13,28.38,38.12
13,27.91,38.61
13,27.91,38.12
13,27.91,38.12
13,27.91,38.12
14,27.67,37.63
14,27.91,37.63
14,27.67,38.12
14,27.44,38.12
14,27.67,38.12
15,27.91,37.63
15,28.14,38.12
15,27.91,38.12
15,27.91,38.12
15,27.44,38.12
16,27.91,37.63
16,28.14,38.12
16,28.14,38.12
16,28.14,38.12
16,28.14,37.63
17,27.91,38.12
17,28.14,38.12
17,28.14,37.63
17,28.38,37.63
17,27.91,38.12
18,27.91,37.63
18,28.38,38.12
18,28.14,37.63
18,28.14,38.12
18,27.91,37.63
19,28.38,37.63
19,28.14,37.63
19,28.14,37.63
19,28.38,37.63
19,28.38,38.12
20,28.61,38.12
20,28.14,37.63
20,27.91,38.12
20,28.14,37.63
20,28.38,37.63
21,27.91,38.12
21,27.91,37.63
21,28.38,37.63
21,28.14,38.12
21,28.38,38.12
22,28.14,38.12
22,28.61,38.12
22,27.91,38.12
22,27.91,38.12
22,28.14,37.63
23,27.67,38.12
23,28.14,38.12
23,28.38,38.12
23,28.14,38.12
23,28.14,38.12
24,28.14,38.12
24,28.14,38.12
24,28.38,38.12
24,28.14,38.12
24,27.91,38.12
25,27.67,38.12
25,28.38,38.12
25,28.61,37.63
25,28.38,38.12
25,27.67,38.12
26,28.38,38.12
26,28.61,37.63
26,28.14,38.12
26,28.14,37.63
26,28.14,37.63
27,28.38,38.12
27,28.61,38.12
27,28.38,37.63
27,28.14,38.12
27,27.91,38.12
28,28.14,38.12
28,28.38,37.63
28,27.91,37.63
28,28.14,38.12
28,27.67,37.63
29,27.91,37.63
29,28.38,37.63
29,27.91,38.12
29,28.61,38.12
29,28.38,38.12
30,28.14,37.63
30,27.91,38.12
30,28.38,38.12
30,28.38,38.12
30,28.14,38.12
31,28.38,37.63
31,28.61,37.63
31,28.38,38.12
31,28.61,37.63
31,28.14,37.63
32,27.67,38.12
32,28.38,38.12
32,27.91,38.12
32,28.38,37.63
32,28.14,37.63
33,28.61,38.12
33,28.14,37.63
33,28.38,38.12
33,27.91,38.12
33,28.14,38.12
34,27.91,38.12
34,28.38,38.12
34,28.14,38.12
34,28.14,38.12
34,28.38,38.12
35,27.91,37.63
35,27.67,38.12
35,27.91,38.12
35,28.38,38.12
35,27.44,37.63
36,28.38,37.63
36,28.14,38.12
36,28.14,37.63
36,28.38,37.63
36,28.38,38.12
37,28.14,38.12
37,28.38,38.12
37,27.67,38.12
37,28.38,38.12
37,28.38,38.12
38,28.38,38.12
38,28.14,38.12
38,28.14,38.12
38,27.91,37.15
38,28.14,37.63
39,28.38,38.12
39,28.38,39.10
39,28.38,38.12
39,28.38,37.63
39,28.14,37.63
40,28.61,38.12
40,28.38,38.12
40,28.61,38.12
40,28.61,38.12
40,27.67,38.12
41,28.85,37.63
